provider,model,plugin,iter,input,output,reasoning,cache_write,cache_read,total,cost
anthropic,claude-haiku-4-5,0,1,2,4,0,328,25564,25898,0
anthropic,claude-haiku-4-5,0,2,2,4,0,0,25892,25898,0
anthropic,claude-haiku-4-5,0,3,2,4,0,0,25892,25898,0
anthropic,claude-haiku-4-5,1,1,2,4,0,328,15267,15601,0
anthropic,claude-haiku-4-5,1,2,2,4,0,0,15595,15601,0
anthropic,claude-haiku-4-5,1,3,2,4,0,0,15595,15601,0
openai,gpt-5.4-mini,0,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
openai,gpt-5.4-mini,0,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
openai,gpt-5.4-mini,0,3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
openai,gpt-5.4-mini,1,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
openai,gpt-5.4-mini,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
openai,gpt-5.4-mini,1,3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
